user_id,login_id,device_id  ,merchant_id,name,age,gender,account_created_date,location,avg_monthly_spend
USR00027,LOG00027,DEV00027,M00459,Sanjay Munjewar,66,Male,02-11-2024,Delhi,9485.52
USR00028,LOG00028,DEV00028,M00297,Arjun Tiwari,21,Male,21-12-2021,Kanpur,3417.34
USR00029,LOG00029,DEV00029,M00124,Jaya Kumar,31,Female,13-11-2024,Mysore,2322.59
USR00030,LOG00030,DEV00030,M00494,Ashwjeet Gupta,82,Male,16-04-2022,Jodhpur,2577.66
USR00031,LOG00031,DEV00031,M00483,Siddharth Mishra,73,Male,10-05-2020,Pune,774
USR00032,LOG00032,DEV00032,M00467,Tanvi Malhotra,58,Female,21-04-2025,Kolkata,9553.81
USR00033,LOG00033,DEV00033,M00407,Rahul Srivastava,48,Male,19-11-2024,Howrah,3153.24
USR00034,LOG00034,DEV00034,M00263,Anand Das,64,Male,12-12-2020,Vasai-Virar,8211.52
USR00035,LOG00035,DEV00035,M00108,Neha Agarwal,58,Female,26-12-2024,Allahabad,2106.45
USR00036,LOG00036,DEV00036,M00484,Pallavi Shah,53,Female,15-06-2024,Surat,7737.9
USR00037,LOG00037,DEV00037,M00406,Tarun Khawshi,50,Male,01-06-2023,Hyderabad,686.25
USR00038,LOG00038,DEV00038,M00145,Madhuri Gandhi,47,Female,17-02-2021,Coimbatore,1356.89
USR00039,LOG00039,DEV00039,M00055,Deepak Dey,40,Male,12-10-2022,Mumbai,5351.38
USR00040,LOG00040,DEV00040,M00423,Radhika Roy,84,Female,13-06-2024,Gurgaon,7209.51
USR00041,LOG00041,DEV00041,M00357,Harsh Roy,20,Male,07-03-2024,Indore,7171.48
USR00042,LOG00042,DEV00042,M00332,Vikas Gandhi,35,Male,17-07-2023,Amritsar,2973.78
USR00043,LOG00043,DEV00043,M00293,Simran Joshi,70,Female,13-10-2021,Navi Mumbai,9309.55
USR00044,LOG00044,DEV00044,M00167,Kiran Saxena,45,Female,24-02-2020,Raipur,4807.31
USR00045,LOG00045,DEV00045,M00114,Rohan Srivastava,88,Male,11-04-2020,Pune,6682.65
USR00046,LOG00046,DEV00046,M00170,Aarav Verma,65,Male,18-03-2023,Pimpri-Chinchwad,3147.62
USR00047,LOG00047,DEV00047,M00466,Ashwjeet Purohit,69,Male,02-04-2024,Bangalore,2427.03
USR00048,LOG00048,DEV00048,M00414,Rakesh Choudhary,70,Male,03-11-2023,Rajkot,1902.58
USR00049,LOG00049,DEV00049,M00138,Anjali Mukherjee,75,Female,21-01-2021,Kota,4567.36
USR00050,LOG00050,DEV00050,M00028,Kiran Mehta,28,Female,24-03-2022,Srinagar,9736.62
USR00051,LOG00051,DEV00051,M00115,Vikas Munjewar,24,Male,11-09-2023,Agra,7086.28
USR00052,LOG00052,DEV00052,M00302,Nisha Agarwal,72,Female,27-12-2022,Jabalpur,655.21
USR00053,LOG00053,DEV00053,M00393,Aarav Saxena,28,Male,04-12-2023,Rajkot,4585.84
USR00054,LOG00054,DEV00054,M00096,Manish Reddy,27,Male,23-01-2025,Jaipur,4902.14
USR00055,LOG00055,DEV00055,M00461,Sakshi Nair,34,Female,22-08-2025,Navi Mumbai,9319.98
USR00056,LOG00056,DEV00056,M00066,Asha Modi,67,Female,29-05-2025,Coimbatore,4104.92
USR00057,LOG00057,DEV00057,M00057,Tarun Nair,87,Male,22-09-2021,Bhubaneswar,3468.31
USR00058,LOG00058,DEV00058,M00051,Meera Dubey,77,Female,24-03-2021,Pimpri-Chinchwad,2965.39
USR00059,LOG00059,DEV00059,M00343,Nitin Modi,33,Male,15-03-2021,Aligarh,6196.4
USR00060,LOG00060,DEV00060,M00124,Vikas Desai,63,Male,25-11-2024,Vadodara,8353.81
USR00061,LOG00061,DEV00061,M00288,Radhika Modi,57,Female,08-06-2025,Amritsar,7202.29
USR00062,LOG00062,DEV00062,M00453,Manish Dongare,21,Male,28-04-2021,Ludhiana,2133.91
USR00063,LOG00063,DEV00063,M00352,Rakesh Verma,66,Male,01-06-2020,Ahmedabad,9248.81
USR00064,LOG00064,DEV00064,M00118,Sanya Choudhary,68,Female,11-05-2025,Tiruchirappalli,6860.38
USR00065,LOG00065,DEV00065,M00293,Yash Bhatt,27,Male,04-11-2023,Mumbai,5976.76
USR00066,LOG00066,DEV00066,M00015,Siddharth Mukherjee,30,Male,17-04-2021,Guwahati,8292.09
USR00067,LOG00067,DEV00067,M00128,Vivek Mehta,47,Male,24-09-2021,Vadodara,5079.14
USR00068,LOG00068,DEV00068,M00199,Sakshi Chopra,37,Female,24-07-2024,Gurgaon,3103.13
USR00069,LOG00069,DEV00069,M00275,Shalini Iyer,25,Female,10-08-2025,Srinagar,4648.11
USR00070,LOG00070,DEV00070,M00012,Neha Ghosh,87,Female,04-12-2024,Ranchi,6482.71
USR00071,LOG00071,DEV00071,M00434,Nisha Banerjee,25,Female,17-06-2021,Kolkata,3222.74
USR00072,LOG00072,DEV00072,M00018,Anand Mishra,84,Male,10-04-2023,Indore,1869.69
USR00073,LOG00073,DEV00073,M00143,Vivek Bakode,23,Male,21-05-2025,Hubli-Dharwad,7192.09
USR00074,LOG00074,DEV00074,M00164,Sanya Agarwal,65,Female,21-04-2025,Pimpri-Chinchwad,7947.53
USR00075,LOG00075,DEV00075,M00208,Sanjay Malhotra,34,Male,25-02-2024,Pimpri-Chinchwad,5322.12
USR00076,LOG00076,DEV00076,M00088,Kartik Nair,58,Male,19-05-2022,Vijayawada,2988.12
USR00077,LOG00077,DEV00077,M00148,Vivek Naidu,60,Male,01-03-2022,Kolkata,1517.06
USR00078,LOG00078,DEV00078,M00276,Anjali Verma,74,Female,04-10-2024,Bareilly,9778.7
USR00079,LOG00079,DEV00079,M00395,Varun Munjewar,68,Male,11-07-2020,Surat,1749.26
USR00080,LOG00080,DEV00080,M00255,Aarav Gandhi,52,Male,22-01-2022,Allahabad,2545.43
USR00081,LOG00081,DEV00081,M00420,Kunal Malhotra,57,Female,01-01-2022,Guwahati,2791.05
USR00082,LOG00082,DEV00082,M00163,Deepak Bhargava,64,Male,13-02-2025,Ghaziabad,2069.09
USR00083,LOG00083,DEV00083,M00196,Nisha Ghosh,45,Female,22-12-2023,Vadodara,3122.51
USR00084,LOG00084,DEV00084,M00232,Anjali Mehta,75,Female,08-05-2021,Salem,5184.57
USR00085,LOG00085,DEV00085,M00351,Rekha Desai,70,Female,29-06-2021,Patna,7756.13
USR00086,LOG00086,DEV00086,M00160,Pallavi Bakode,53,Female,27-07-2021,Patna,6082.9
USR00087,LOG00087,DEV00087,M00429,Tanya Kapoor,55,Female,31-01-2025,Ahmedabad,4758.18
USR00088,LOG00088,DEV00088,M00199,Rekha Roy,88,Female,03-10-2022,Bareilly,9701.53
USR00089,LOG00089,DEV00089,M00192,Kartik Desai,28,Male,16-07-2023,Aligarh,7021.62
USR00090,LOG00090,DEV00090,M00361,Radhika Trivedi,55,Female,15-08-2022,Coimbatore,7199.68
USR00091,LOG00091,DEV00091,M00007,Rekha Banerjee,66,Female,14-06-2020,Srinagar,9123.43
USR00092,LOG00092,DEV00092,M00225,Deepak Khawshi,38,Male,08-01-2024,Indore,1813.31
USR00093,LOG00093,DEV00093,M00361,Anand Tiwari,81,Male,02-08-2025,Mira-Bhayandar,7532.57
USR00094,LOG00094,DEV00094,M00158,Tanya Thakur,79,Female,21-09-2021,Surat,1618.25
USR00095,LOG00095,DEV00095,M00396,Tanya Thakur,81,Female,26-05-2025,Howrah,3054.38
USR00096,LOG00096,DEV00096,M00219,Shalini Malhotra,52,Female,17-04-2023,Hubli-Dharwad,5141.19
USR00097,LOG00097,DEV00097,M00070,Kiran Mishra,64,Female,23-11-2022,Guwahati,5989.71
USR00098,LOG00098,DEV00098,M00283,Jaya Jain,27,Female,16-06-2023,Aligarh,2196.21
USR00099,LOG00099,DEV00099,M00242,Manish Reddy,63,Male,06-11-2020,Nashik,7633.07
USR00100,LOG00100,DEV00100,M00117,Anjali Reddy,57,Female,09-11-2025,Jaipur,8664.93
USR00101,LOG00101,DEV00101,M00175,Pooja Mehta,76,Female,28-11-2025,Rajkot,9114.89
USR00102,LOG00102,DEV00102,M00178,Nisha Reddy,49,Female,23-11-2025,Moradabad,2431.05
USR00103,LOG00103,DEV00103,M00014,Rohan Joshi,24,Male,14-04-2025,Mumbai,9350.49
USR00104,LOG00104,DEV00104,M00317,Arjun Purohit,46,Male,12-07-2021,Howrah,710.49
USR00105,LOG00105,DEV00105,M00404,Dhanlaxmi Iyer,55,Female,18-04-2021,Thane,2429.03
USR00106,LOG00106,DEV00106,M00133,Ashwjeet Srivastava,88,Male,28-09-2024,Pune,1579.87
USR00107,LOG00107,DEV00107,M00182,Tanya Iyer,80,Female,25-04-2024,Patna,9594.34
USR00108,LOG00108,DEV00108,M00299,Vivek Roy,71,Male,03-11-2024,Pune,8918.21
USR00109,LOG00109,DEV00109,M00073,Ajay Trivedi,30,Male,26-10-2024,Vasai-Virar,2381.72
USR00110,LOG00110,DEV00110,M00317,Amit Naidu,46,Male,01-09-2023,Vijayawada,1938.58
USR00111,LOG00111,DEV00111,M00439,Ajay Bose,62,Male,12-10-2024,Gwalior,9901.24
USR00112,LOG00112,DEV00112,M00404,Ritu Thakur,42,Female,04-11-2022,Pimpri-Chinchwad,9005.43
USR00113,LOG00113,DEV00113,M00085,Sanya Gandhi,23,Female,27-08-2021,Indore,9655.83
USR00114,LOG00114,DEV00114,M00296,Divya Shah,20,Female,10-10-2025,Mumbai,6718.01
USR00115,LOG00115,DEV00115,M00036,Sakshi Malhotra,69,Female,12-06-2023,Solapur,4784.44
USR00116,LOG00116,DEV00116,M00261,Manish Reddy,70,Male,08-09-2022,Solapur,8356.97
USR00117,LOG00117,DEV00117,M00078,Rekha Rastogi,79,Female,08-02-2022,Bareilly,1324.15
USR00118,LOG00118,DEV00118,M00133,Tarun Dongare,56,Male,03-06-2023,Aligarh,8327.73
USR00119,LOG00119,DEV00119,M00332,Riya Choudhary,79,Female,15-03-2021,Gwalior,858.01
USR00120,LOG00120,DEV00120,M00184,Arjun Dubey,83,Male,12-04-2021,Kolkata,8230.28
USR00121,LOG00121,DEV00121,M00256,Shalini Malhotra,56,Female,14-03-2024,Vasai-Virar,6498.78
USR00122,LOG00122,DEV00122,M00285,Divya Bhattacharya,87,Female,05-05-2023,Raipur,8619.79
USR00123,LOG00123,DEV00123,M00289,Vivek Reddy,69,Male,22-04-2024,Howrah,5186.87
USR00124,LOG00124,DEV00124,M00252,Vivek Reddy,27,Female,28-05-2023,Guwahati,4983.98
USR00125,LOG00125,DEV00125,M00120,Aditya Dubey,37,Male,30-03-2020,Rajkot,2506.99
USR00126,LOG00126,DEV00126,M00474,Pallavi Varma,27,Female,14-08-2025,Lucknow,3994.34
USR00127,LOG00127,DEV00127,M00241,Meera Verma,85,Female,02-02-2022,Solapur,1640.16
USR00128,LOG00128,DEV00128,M00430,Radhika Choudhary,52,Female,14-05-2021,Navi Mumbai,2692.15
USR00129,LOG00129,DEV00129,M00108,Pallavi Tiwari,38,Female,20-01-2022,Delhi,2999.41
USR00130,LOG00130,DEV00130,M00313,Shreya Mukherjee,31,Female,19-01-2025,Visakhapatnam,8794.96
USR00131,LOG00131,DEV00131,M00414,Dhanlaxmi Malhotra,45,Female,07-07-2023,Kalyan-Dombivli,7387.2
USR00132,LOG00132,DEV00132,M00470,Rekha Rastogi,78,Female,10-09-2023,Ghaziabad,2702.48
USR00133,LOG00133,DEV00133,M00146,Radhika Khandelwal,75,Female,18-03-2022,Jalandhar,8108.18
USR00134,LOG00134,DEV00134,M00350,Dhanlaxmi Malhotra,23,Female,23-04-2022,Aurangabad,2149.05
USR00135,LOG00135,DEV00135,M00003,Tarun Gandhi,75,Male,11-10-2022,Agra,9859.1
USR00136,LOG00136,DEV00136,M00004,Raj Kumar,85,Male,18-03-2022,Srinagar,6397.39
USR00137,LOG00137,DEV00137,M00261,Simran Verma,29,Female,27-07-2024,Vadodara,4029.22
USR00138,LOG00138,DEV00138,M00186,Arjun Bhargava,81,Male,08-05-2021,Jabalpur,2495.55
USR00139,LOG00139,DEV00139,M00377,Yash Dongare,39,Male,07-02-2025,Agra,631.87
USR00140,LOG00140,DEV00140,M00463,Harsh Chopra,79,Male,30-11-2023,Salem,9335.77
USR00141,LOG00141,DEV00141,M00400,Simran Bakode,39,Female,13-09-2025,Chennai,660.28
USR00142,LOG00142,DEV00142,M00457,Vivek Gupta,36,Male,03-02-2022,Mumbai,5656.49
USR00143,LOG00143,DEV00143,M00370,Anand Thakur,33,Male,04-01-2025,Pune,6263.72
USR00144,LOG00144,DEV00144,M00494,Tarun Verma,64,Male,22-01-2021,Rajkot,6064.25
USR00145,LOG00145,DEV00145,M00073,Rakesh Verma,37,Male,05-10-2020,Jaipur,3628.37
USR00146,LOG00146,DEV00146,M00339,Amit Mishra,22,Male,16-06-2024,Bangalore,9348.78
USR00147,LOG00147,DEV00147,M00483,Kunal Roy,71,Female,31-05-2024,Aligarh,6076.83
USR00148,LOG00148,DEV00148,M00203,Isha Mukherjee,33,Female,21-12-2025,Jalandhar,9409.18
USR00149,LOG00149,DEV00149,M00395,Vikas Naidu,82,Male,08-11-2025,Thane,615.83
USR00150,LOG00150,DEV00150,M00478,Ajay Naidu,40,Male,24-04-2024,Vijayawada,8510.23
USR00151,LOG00151,DEV00151,M00284,Harsh Sen,78,Male,06-05-2025,Mira-Bhayandar,6304.9
USR00152,LOG00152,DEV00152,M00209,Sanjay Saxena,81,Male,27-10-2023,Hyderabad,700
USR00153,LOG00153,DEV00153,M00145,Simran Nair,72,Female,30-01-2022,Rajkot,6373.1
USR00154,LOG00154,DEV00154,M00075,Divya Bhargava,49,Female,08-04-2020,Nashik,5998.21
USR00155,LOG00155,DEV00155,M00093,Shreya Varma,39,Female,12-05-2020,Varanasi,6304.86
USR00156,LOG00156,DEV00156,M00250,Anand Mishra,68,Male,15-09-2023,Surat,6748.33
USR00157,LOG00157,DEV00157,M00267,Kiran Malhotra,45,Female,19-11-2021,Kolkata,5046.11
USR00158,LOG00158,DEV00158,M00409,Ajay Kapoor,32,Male,23-01-2023,Jalandhar,8724.3
USR00159,LOG00159,DEV00159,M00033,Asha Bakode,84,Female,08-08-2020,Surat,8982.84
USR00160,LOG00160,DEV00160,M00321,Arjun Verma,52,Male,18-06-2024,Bhopal,3276.86
USR00161,LOG00161,DEV00161,M00079,Radhika Khandelwal,61,Female,12-07-2025,Varanasi,5633.7
USR00162,LOG00162,DEV00162,M00384,Aarav Malhotra,88,Male,24-05-2022,Moradabad,8964.01
USR00163,LOG00163,DEV00163,M00332,Rekha Khawshi,54,Female,06-05-2022,Nashik,8470.14
USR00164,LOG00164,DEV00164,M00434,Yash Bose,74,Male,07-05-2025,Raipur,8651.85
USR00165,LOG00165,DEV00165,M00459,Siddharth Verma,44,Male,27-01-2024,Indore,8609.58
USR00166,LOG00166,DEV00166,M00326,Riya Mishra,64,Female,07-06-2024,Nashik,3579.43
USR00167,LOG00167,DEV00167,M00188,Arjun Dey,80,Male,26-08-2020,Kanpur,7642.75
USR00168,LOG00168,DEV00168,M00280,Vikas Purohit,39,Male,12-02-2021,Solapur,2766.57
USR00169,LOG00169,DEV00169,M00118,Harsh Tiwari,73,Male,28-07-2021,Salem,9735.79
USR00170,LOG00170,DEV00170,M00430,Dhanlaxmi Khawshi,71,Female,23-06-2025,Kanpur,1764.14
USR00171,LOG00171,DEV00171,M00200,Rohan Khandelwal,66,Male,14-05-2022,Kanpur,6556.77
USR00172,LOG00172,DEV00172,M00281,Vikas Saxena,87,Male,14-02-2024,Dhanbad,9021.32
USR00173,LOG00173,DEV00173,M00208,Rakesh Bhargava,53,Male,16-11-2024,Surat,638.74
USR00174,LOG00174,DEV00174,M00354,Yash Munjewar,69,Male,03-10-2021,Guwahati,5933.51
USR00175,LOG00175,DEV00175,M00158,Tarun Chauhan,58,Male,25-01-2025,Nagpur,5507.46
USR00176,LOG00176,DEV00176,M00301,Pallavi Bhargava,37,Female,13-12-2023,Gwalior,5728.79
USR00177,LOG00177,DEV00177,M00346,Neelam Malhotra,57,Female,27-10-2023,Chennai,6930.4
USR00178,LOG00178,DEV00178,M00382,Tarun Dey,47,Male,23-11-2025,Ahmedabad,8204.46
USR00179,LOG00179,DEV00179,M00453,Ashwjeet Reddy,76,Male,12-02-2022,Guwahati,1964.43
USR00180,LOG00180,DEV00180,M00210,Sanya Bose,45,Female,21-08-2024,Aligarh,5681.9
USR00181,LOG00181,DEV00181,M00360,Deepak Sen,23,Male,16-12-2023,Bareilly,8832.29
USR00182,LOG00182,DEV00182,M00070,Tanya Khandelwal,88,Female,22-03-2024,Pimpri-Chinchwad,5504.96
USR00183,LOG00183,DEV00183,M00014,Deepak Jain,33,Male,27-01-2024,Solapur,8409.99
USR00184,LOG00184,DEV00184,M00269,Radhika Joshi,72,Female,10-11-2022,Surat,9335.31
USR00185,LOG00185,DEV00185,M00135,Neha Thakur,70,Female,19-10-2024,Gurgaon,2194.09
USR00186,LOG00186,DEV00186,M00369,Kunal Bhatt,34,Female,29-11-2025,Srinagar,3194.91
USR00187,LOG00187,DEV00187,M00477,Yash Gupta,69,Male,19-03-2022,Howrah,1562.32
USR00188,LOG00188,DEV00188,M00114,Simran Kapoor,74,Female,26-08-2021,Mira-Bhayandar,4560.02
USR00189,LOG00189,DEV00189,M00474,Madhuri Vora,25,Female,26-11-2025,Moradabad,562.99
USR00190,LOG00190,DEV00190,M00166,Tanya Malhotra,32,Female,20-08-2020,Coimbatore,7131.89
USR00191,LOG00191,DEV00191,M00213,Shalini Reddy,29,Female,18-08-2021,Kolkata,9811.18
USR00192,LOG00192,DEV00192,M00372,Asha Naidu,22,Female,01-02-2024,Salem,3793.29
USR00193,LOG00193,DEV00193,M00350,Rekha Shah,89,Female,11-06-2023,Madurai,4743.99
USR00194,LOG00194,DEV00194,M00172,Shalini Roy,71,Female,16-11-2023,Madurai,5560.52
USR00195,LOG00195,DEV00195,M00264,Amit Trivedi,76,Male,03-06-2024,Nagpur,5936.57
USR00196,LOG00196,DEV00196,M00394,Vivek Chauhan,89,Male,10-04-2025,Ranchi,9499.84
USR00197,LOG00197,DEV00197,M00320,Anand Sen,48,Male,27-05-2021,Visakhapatnam,2746.08
USR00198,LOG00198,DEV00198,M00286,Vivek Vora,30,Male,11-09-2023,Madurai,3103.73
USR00199,LOG00199,DEV00199,M00319,Shalini Solanki,90,Female,20-09-2021,Gurgaon,7069.72
USR00200,LOG00200,DEV00200,M00274,Arjun Bose,89,Male,30-08-2023,Ranchi,5153.37
USR00201,LOG00201,DEV00201,M00453,Rahul Gandhi,76,Male,24-10-2022,Jalandhar,5458.98
USR00202,LOG00202,DEV00202,M00366,Simran Banerjee,30,Female,03-10-2020,Jodhpur,1304.39
USR00203,LOG00203,DEV00203,M00255,Neelam Choudhary,39,Female,19-01-2022,Coimbatore,8097.93
USR00204,LOG00204,DEV00204,M00260,Anand Ghosh,51,Male,20-04-2020,Vasai-Virar,1880.56
USR00205,LOG00205,DEV00205,M00371,Meera Vora,87,Female,30-08-2025,Hubli-Dharwad,3433.72
USR00206,LOG00206,DEV00206,M00157,Rekha Srivastava,56,Female,28-12-2022,Chennai,1061.7
USR00207,LOG00207,DEV00207,M00274,Meera Bhargava,31,Female,29-11-2025,Vijayawada,1715.01
USR00208,LOG00208,DEV00208,M00160,Tanvi Dave,48,Female,17-10-2024,Bareilly,9765.23
USR00209,LOG00209,DEV00209,M00433,Tanvi Gandhi,64,Female,18-06-2020,Jalandhar,3779.95
USR00210,LOG00210,DEV00210,M00161,Kiran Kapoor,76,Female,04-04-2025,Indore,8241.95
USR00211,LOG00211,DEV00211,M00421,Isha Malhotra,90,Female,15-12-2025,Nashik,2303.26
USR00212,LOG00212,DEV00212,M00205,Rahul Mehta,29,Male,25-11-2025,Vasai-Virar,9336.3
USR00213,LOG00213,DEV00213,M00117,Isha Solanki,22,Female,13-09-2022,Varanasi,854.34
USR00214,LOG00214,DEV00214,M00385,Arjun Banerjee,89,Male,12-05-2022,Agra,6347.66
USR00215,LOG00215,DEV00215,M00491,Divya Bhargava,36,Female,15-03-2020,Vasai-Virar,1300.32
USR00216,LOG00216,DEV00216,M00047,Kiran Bhatt,78,Female,10-07-2022,Rajkot,7601.03
USR00217,LOG00217,DEV00217,M00188,Sakshi Desai,36,Female,30-07-2025,Jabalpur,8470.5
USR00218,LOG00218,DEV00218,M00262,Rahul Das,90,Male,17-06-2023,Ranchi,1813.04
USR00219,LOG00219,DEV00219,M00270,Pooja Bhattacharya,35,Female,07-03-2025,Pimpri-Chinchwad,3365.57
USR00220,LOG00220,DEV00220,M00296,Amit Munjewar,34,Male,18-11-2021,Aligarh,1264.99
USR00221,LOG00221,DEV00221,M00246,Amit Munjewar,74,Female,12-08-2020,Dhanbad,7508.21
USR00222,LOG00222,DEV00222,M00469,Anjali Ghosh,32,Female,30-09-2023,Bhubaneswar,9572.71
USR00223,LOG00223,DEV00223,M00444,Tanvi Bose,68,Female,01-01-2020,Hyderabad,2227.96
USR00224,LOG00224,DEV00224,M00488,Nisha Mukherjee,36,Female,28-01-2023,Raipur,3333.85
USR00225,LOG00225,DEV00225,M00057,Meera Bhattacharya,81,Female,23-09-2025,Nashik,2097.13
USR00226,LOG00226,DEV00226,M00199,Sanjay Chopra,40,Male,19-06-2021,Hyderabad,2548.4
USR00227,LOG00227,DEV00227,M00140,Sanya Desai,89,Female,29-08-2023,Indore,9281.77
USR00228,LOG00228,DEV00228,M00094,Sanya Rastogi,62,Female,29-02-2024,Rajkot,2678.5
USR00229,LOG00229,DEV00229,M00135,Rekha Mishra,64,Female,02-07-2025,Agra,5025.55
USR00230,LOG00230,DEV00230,M00187,Tanvi Bhatt,64,Female,08-07-2022,Surat,2525.49
USR00231,LOG00231,DEV00231,M00301,Tanvi Bhatt,68,Female,02-12-2023,Faridabad,1879.55
USR00232,LOG00232,DEV00232,M00377,Neelam Bhattacharya,38,Female,03-11-2020,Hubli-Dharwad,7831.78
USR00233,LOG00233,DEV00233,M00254,Sanya Dey,31,Female,31-05-2020,Bangalore,1623.62
USR00234,LOG00234,DEV00234,M00129,Meera Chauhan,79,Female,11-04-2023,Thane,3962.11
USR00235,LOG00235,DEV00235,M00165,Kartik Bose,51,Male,05-08-2022,Coimbatore,4981.11
USR00236,LOG00236,DEV00236,M00128,Madhuri Choudhary,65,Female,19-08-2022,Tiruchirappalli,9663.97
USR00237,LOG00237,DEV00237,M00199,Anjali Rastogi,53,Female,14-01-2023,Hubli-Dharwad,4208.94
USR00238,LOG00238,DEV00238,M00250,Tanvi Roy,31,Female,26-08-2024,Coimbatore,6044.91
USR00239,LOG00239,DEV00239,M00026,Kunal Saxena,43,Female,12-08-2023,Varanasi,2583.01
USR00240,LOG00240,DEV00240,M00286,Neelam Agarwal,90,Female,31-12-2025,Ludhiana,6020.56
USR00241,LOG00241,DEV00241,M00376,Anjali Reddy,44,Female,15-06-2021,Kota,2539.89
USR00242,LOG00242,DEV00242,M00401,Tanya Reddy,24,Female,01-08-2024,Dhanbad,4642.9
USR00243,LOG00243,DEV00243,M00159,Meera Bhattacharya,35,Female,22-05-2024,Visakhapatnam,608.08
USR00244,LOG00244,DEV00244,M00127,Shreya Solanki,63,Female,06-05-2023,Madurai,9367.16
USR00245,LOG00245,DEV00245,M00316,Akash Dubey,74,Male,21-12-2024,Vasai-Virar,3246.52
USR00246,LOG00246,DEV00246,M00099,Shalini Mishra,89,Female,25-03-2020,Navi Mumbai,6495.55
USR00247,LOG00247,DEV00247,M00097,Shalini Mishra,58,Female,08-03-2024,Hubli-Dharwad,3160.22
USR00248,LOG00248,DEV00248,M00221,Anjali Mehta,74,Female,11-12-2024,Faridabad,3423.95
USR00249,LOG00249,DEV00249,M00135,Sanya Sen,78,Female,09-05-2022,Chandigarh,6988.44
USR00250,LOG00250,DEV00250,M00298,Simran Varma,52,Female,12-02-2025,Allahabad,6906.86
USR00251,LOG00251,DEV00251,M00179,Sakshi Varma,40,Female,02-12-2020,Ranchi,7582.88
USR00252,LOG00252,DEV00252,M00372,Sakshi Varma,32,Female,15-02-2021,Moradabad,6716.32
USR00253,LOG00253,DEV00253,M00001,Dhanlaxmi Gandhi,37,Female,28-05-2024,Dhanbad,3207.97
USR00254,LOG00254,DEV00254,M00473,Kunal Khandelwal,71,Female,31-01-2024,Pimpri-Chinchwad,2446.7
USR00255,LOG00255,DEV00255,M00396,Nitin Desai,31,Male,24-01-2020,Mira-Bhayandar,2365.84
USR00256,LOG00256,DEV00256,M00439,Tanvi Joshi,86,Female,26-03-2025,Jabalpur,553.22
USR00257,LOG00257,DEV00257,M00317,Vikas Joshi,24,Male,03-12-2024,Chennai,7422.65
USR00258,LOG00258,DEV00258,M00215,Akash Varma,39,Male,24-11-2023,Madurai,4818.52
